date_start,name,count_date_person
2017-10-01,al franken,0
2017-10-01,andy dick,0
2017-10-01,blake farenthold,0
2017-10-01,brett ratner,0
2017-10-01,charlie rose,2
2017-10-01,danny masterson,0
2017-10-01,dustin hoffman,0
2017-10-01,garrison keillor,0
2017-10-01,gary goddard,0
2017-10-01,george takei,0
2017-10-01,glenn thrush,0
2017-10-01,harvey weinstein,0
2017-10-01,james levine,0
2017-10-01,james toback,0
2017-10-01,jann wenner,0
2017-10-01,jeff clemens,0
2017-10-01,jeffrey tambor,0
2017-10-01,jeremy piven,0
2017-10-01,john conyers,0
2017-10-01,john lasseter,0
2017-10-01,josh besh,0
2017-10-01,ken baker,0
2017-10-01,kevin spacey,0
2017-10-01,leon wieseltier,0
2017-10-01,louis ck,0
2017-10-01,mark halperin,0
2017-10-01,matt lauer,0
2017-10-01,matt zimmerman,0
2017-10-01,matthew weiner,0
2017-10-01,michael fallon,0
2017-10-01,michael oreskes,0
2017-10-01,nick carter,0
2017-10-01,richard dreyfuss,0
2017-10-01,robert scoble,0
2017-10-01,roy moore,40
2017-10-01,ruben kihuen,0
2017-10-01,russell simmons,0
2017-10-01,sepp blatter,0
2017-10-01,steven seagal,0
2017-10-01,terry richardson,0
2017-10-01,tom sizemore,0
2017-10-01,tony cornish,0
2017-10-01,trent franks,0
2017-10-01,warren moon,0
2017-10-01,wes goodman,0
2017-10-02,al franken,0
2017-10-02,andy dick,0
2017-10-02,blake farenthold,0
2017-10-02,brett ratner,0
2017-10-02,charlie rose,2
2017-10-02,danny masterson,0
2017-10-02,dustin hoffman,0
2017-10-02,garrison keillor,0
2017-10-02,gary goddard,0
2017-10-02,george takei,0
2017-10-02,glenn thrush,0
2017-10-02,harvey weinstein,0
2017-10-02,james levine,0
2017-10-02,james toback,0
2017-10-02,jann wenner,0
2017-10-02,jeff clemens,0
2017-10-02,jeffrey tambor,0
2017-10-02,jeremy piven,0
2017-10-02,john conyers,0
2017-10-02,john lasseter,0
2017-10-02,josh besh,0
2017-10-02,ken baker,0
2017-10-02,kevin spacey,0
2017-10-02,leon wieseltier,0
2017-10-02,louis ck,0
2017-10-02,mark halperin,0
2017-10-02,matt lauer,3
2017-10-02,matt zimmerman,0
2017-10-02,matthew weiner,0
2017-10-02,michael fallon,0
2017-10-02,michael oreskes,0
2017-10-02,nick carter,0
2017-10-02,richard dreyfuss,0
2017-10-02,robert scoble,0
2017-10-02,roy moore,9
2017-10-02,ruben kihuen,1
2017-10-02,russell simmons,0
2017-10-02,sepp blatter,0
2017-10-02,steven seagal,0
2017-10-02,terry richardson,0
2017-10-02,tom sizemore,0
2017-10-02,tony cornish,0
2017-10-02,trent franks,0
2017-10-02,warren moon,0
2017-10-02,wes goodman,0
2017-10-03,al franken,0
2017-10-03,andy dick,0
2017-10-03,blake farenthold,0
2017-10-03,brett ratner,0
2017-10-03,charlie rose,6
2017-10-03,danny masterson,0
2017-10-03,dustin hoffman,0
2017-10-03,garrison keillor,0
2017-10-03,gary goddard,0
2017-10-03,george takei,0
2017-10-03,glenn thrush,0
2017-10-03,harvey weinstein,0
2017-10-03,james levine,0
2017-10-03,james toback,0
2017-10-03,jann wenner,0
2017-10-03,jeff clemens,0
2017-10-03,jeffrey tambor,0
2017-10-03,jeremy piven,0
2017-10-03,john conyers,0
2017-10-03,john lasseter,0
2017-10-03,josh besh,0
2017-10-03,ken baker,0
2017-10-03,kevin spacey,0
2017-10-03,leon wieseltier,0
2017-10-03,louis ck,0
2017-10-03,mark halperin,1
2017-10-03,matt lauer,0
2017-10-03,matt zimmerman,0
2017-10-03,matthew weiner,0
2017-10-03,michael fallon,0
2017-10-03,michael oreskes,0
2017-10-03,nick carter,0
2017-10-03,richard dreyfuss,0
2017-10-03,robert scoble,0
2017-10-03,roy moore,0
2017-10-03,ruben kihuen,0
2017-10-03,russell simmons,0
2017-10-03,sepp blatter,0
2017-10-03,steven seagal,0
2017-10-03,terry richardson,0
2017-10-03,tom sizemore,0
2017-10-03,tony cornish,0
2017-10-03,trent franks,0
2017-10-03,warren moon,0
2017-10-03,wes goodman,0
2017-10-04,al franken,1
2017-10-04,andy dick,0
2017-10-04,blake farenthold,0
2017-10-04,brett ratner,0
2017-10-04,charlie rose,4
2017-10-04,danny masterson,0
2017-10-04,dustin hoffman,0
2017-10-04,garrison keillor,0
2017-10-04,gary goddard,0
2017-10-04,george takei,0
2017-10-04,glenn thrush,0
2017-10-04,harvey weinstein,0
2017-10-04,james levine,0
2017-10-04,james toback,0
2017-10-04,jann wenner,0
2017-10-04,jeff clemens,0
2017-10-04,jeffrey tambor,0
2017-10-04,jeremy piven,0
2017-10-04,john conyers,0
2017-10-04,john lasseter,0
2017-10-04,josh besh,0
2017-10-04,ken baker,0
2017-10-04,kevin spacey,0
2017-10-04,leon wieseltier,0
2017-10-04,louis ck,0
2017-10-04,mark halperin,0
2017-10-04,matt lauer,0
2017-10-04,matt zimmerman,0
2017-10-04,matthew weiner,0
2017-10-04,michael fallon,0
2017-10-04,michael oreskes,0
2017-10-04,nick carter,0
2017-10-04,richard dreyfuss,0
2017-10-04,robert scoble,0
2017-10-04,roy moore,3
2017-10-04,ruben kihuen,0
2017-10-04,russell simmons,0
2017-10-04,sepp blatter,0
2017-10-04,steven seagal,0
2017-10-04,terry richardson,0
2017-10-04,tom sizemore,0
2017-10-04,tony cornish,0
2017-10-04,trent franks,0
2017-10-04,warren moon,0
2017-10-04,wes goodman,0
2017-10-05,al franken,0
2017-10-05,andy dick,0
2017-10-05,blake farenthold,0
2017-10-05,brett ratner,0
2017-10-05,charlie rose,5
